price;kod_tov;art;name
1054,730;;ALM244006.01;Штапик оконно-дверной ALUMARK 6 мм 6м Неокрашенный
1340,000;;ALM244006.07;Штапик оконно-дверной ALUMARK 6 мм 6м Белый RAL9016
1560,840;;ALM244006/6018/6.0;Штапик оконно-дверной ALUMARK 6 мм  6 м RAL6018
1496,760;;ALM244006/7004/6.0;Штапик оконно-дверной ALUMARK 6 мм 6м 7004
1293,460;;ALM244013-5.01;Штапик оконно-дверной ALUMARK 13 мм 6м неокрашенный
1844,800;;ALM244013-5.07;Штапик оконно-дверной ALUMARK 13 мм 6м RAL9016
1909,200;;ALM244021-1/9006GL;Штапик оконно-дверной ALUMARK 21 мм 6м 9006GL
1081,560;;ALM244021.01;Штапик оконно-дверной ALUMARK 21 мм 6м неокрашенный
1316,920;;ALM244021.07;Штапик оконно-дверной ALUMARK 21 мм 6м Белый RAL9016
14378,650;;ALM244045-1.07;Профиль трубы ALUMARK Ф45х2,5 мм, 6м Белый RAL9016
3018,830;;ALM244064-1.01;Стойка ригель симетричный ALUMARK 60мм 6м Неокрашенный
5022,530;;ALM244100-1.01;Рама оконная без уса ALUMARK 42/42 мм 6м Неокрашенный
6119,840;;ALM244100-1.07;Рама оконная без уса ALUMARK 42/42 мм 6м Белый RAL9016
7770,350;;ALM244101-1.01;Рама оконная ALUMARK 44/26 мм 6м Неокрашенный
3869,260;;ALM244101-1.07;Рама оконная ALUMARK 44/26 мм 6м Белый RAL9016
5174,080;;ALM244102-1.01;Рама оконная ALUMARK 60/42 мм 6м Неокрашенный
6308,090;;ALM244102-1.07;Рама оконная ALUMARK 60/42 мм 6м Белый RAL9016
6327,490;;ALM244102-1/9006GL;Рама оконная ALUMARK 60/42 мм 6м RAL9006 GL
9521,260;;ALM244111-1.07;Стойка без уса ALUMARK 100мм 6м Белый RAL9016
9789,050;;ALM244112-1.01;Стойка и ригель один ус ALUMARK 100 мм 6м Неокрашенный
14312,270;;ALM244112-1.07;Стойка и ригель один ус ALUMARK 100 мм 6м Белый RAL9016
8403,850;;ALM244113-1.01;Стойка и ригель два уса ALUMARK 100 мм 6м Неокрашенный
10654,980;;ALM244121-1.07;Стойка без уса ALUMARK 120 мм 6м Белый RAL9016
11103,010;;ALM244122-1.07;Стойка и ригель один ус ALUMARK 120 мм 6м Белый RAL9016
12244,750;;ALM244125-1.01;Стойка угловая ALUMARK 6м Неокрашеный
14016,240;;ALM244125-1.07;Стойка угловая ALUMARK 6м Белый RAL9016
12224,040;;ALM244142-1.07;Стойка и ригель один ус ALUMARK 140 мм 6м Белый RAL9016
4892,030;;ALM244171-1.07;Рама поворотная с усом ALUMARK 6м Белый RAL9016
6844,090;;ALM244180-1/6.5/9006;Рама дверная ALUMARK 66/43 мм 6,5м RAL9006 GL
5848,070;;ALM244180-5.01;Рама дверная ALUMARK 66/43 мм 6м неокрашенный
5760,430;;ALM244180.01/6.5;Рама дверная ALUMARK 66/43 мм 6.5м Неокрашенный
6814,570;;ALM244180.07/6.5;Рама дверная ALUMARK 66/43 мм 6.5м Белый RAL9016
7113,070;;ALM244180/6018/6.5;Рама дверная ALUMARK 66/43 мм 6,5м RAL6018
6552,720;;ALM244180/7004/6.5;Рама дверная ALUMARK 66/43 мм 6.5м RAL7004
5858,180;;ALM244201-1.01;Створка оконная ALUMARK 32/43 мм 6м Неокрашенный
8182,910;;ALM244201-1.07;Створка оконная ALUMARK 32/43 мм 6м Белая RAL9016
